type,imageUrl,displayText,question
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/1_1.jpg,,Click on the picture that best matches the sentence: The dog was chased by the cat
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/1_2.jpg,,Click on the picture that best matches the sentence: The dog was chased by the cat
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/2_1.jpg,,Click on the picture that best matches the sentence: It was the chicken that scared the lion.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/2_2.jpg,,Click on the picture that best matches the sentence: It was the chicken that scared the lion.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/3_1.jpg,,Click on the picture that best matches the sentence: It was the lion that the elephant bit
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/3_2.jpg,,Click on the picture that best matches the sentence: It was the lion that the elephant bit
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/4_1.jpg,,Click on the picture that best matches the sentence: Every hiker climbed a hill.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/4_2.jpg,,Click on the picture that best matches the sentence: Every hiker climbed a hill.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/5_1.jpg,,Click on the picture that best matches the sentence: It was the tiger that the monkey hugged.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/5_2.jpg,,Click on the picture that best matches the sentence: It was the tiger that the monkey hugged.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/6_1.jpg,,Click on the picture that best matches the sentence: It was the monkey that pushed the bear.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/6_2.jpg,,Click on the picture that best matches the sentence: It was the monkey that pushed the bear.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/7_1.jpg,,Click on the picture that best matches the sentence: The dog was pushed by the cat.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/7_2.jpg,,Click on the picture that best matches the sentence: The dog was pushed by the cat.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/8_1.jpg,,Click on the picture that best matches the sentence: Every child rode an elephant.
survey-multi-picture,http://www.gameswithwords.org/WhichEnglish/images/8_2.jpg,,Click on the picture that best matches the sentence: Every child rode an elephant.
survey-multi-choice,,I shan't be coming to the party after all.,Which of the following sentences sounds most natural? http://www.gameswithwords.org/WhichEnglish/images/9.jpg
survey-multi-choice,,I won't be coming to the party after all.,Which of the following sentences sounds most natural? http://www.gameswithwords.org/WhichEnglish/images/9.jpg
survey-multi-choice,,Both,Which of the following sentences sounds most natural? http://www.gameswithwords.org/WhichEnglish/images/9.jpg
survey-multi-choice,,Neither,Which of the following sentences sounds most natural? http://www.gameswithwords.org/WhichEnglish/images/9.jpg
survey-multi-choice,,What age are you?,Which of the following sentences sounds most natural? http://www.gameswithwords.org/WhichEnglish/images/10.jpg
survey-multi-choice,,How age are you?,Which of the following sentences sounds most natural? http://www.gameswithwords.org/WhichEnglish/images/10.jpg
survey-multi-choice,,How old are you?,Which of the following sentences sounds most natural? http://www.gameswithwords.org/WhichEnglish/images/10.jpg
survey-multi-choice,,What old are you?,Which of the following sentences sounds most natural? http://www.gameswithwords.org/WhichEnglish/images/10.jpg
survey-multi-choice,,I will have studied for 6 hours by dinner time.,Which of the following sentences sounds most natural?11
survey-multi-choice,,I will have been studying for 6 hours by dinner time.,Which of the following sentences sounds most natural?11
survey-multi-choice,,I will had studied for 6 hours by dinner time.,Which of the following sentences sounds most natural?11
survey-multi-choice,,I will be studying for 6 hours by dinner time.,Which of the following sentences sounds most natural?11
survey-multi-choice,,The people is angry.,Which of the following sentences sounds most natural? http://www.gameswithwords.org/WhichEnglish/images/12.jpg
survey-multi-choice,,The people be angry.,Which of the following sentences sounds most natural? http://www.gameswithwords.org/WhichEnglish/images/12.jpg
survey-multi-choice,,The people were angry.,Which of the following sentences sounds most natural? http://www.gameswithwords.org/WhichEnglish/images/12.jpg
survey-multi-choice,,The people are angry.,Which of the following sentences sounds most natural? http://www.gameswithwords.org/WhichEnglish/images/12.jpg
survey-multi-choice,,The man that arrived yesterday needs a wakeup call at nine.,Which of the following sentences sounds most natural? 13
survey-multi-choice,,The man whom arrived yesterday needs a wakeup call at nine.,Which of the following sentences sounds most natural? 13
survey-multi-choice,,The man which arrived yesterday needs a wakeup call at nine.,Which of the following sentences sounds most natural? 13
survey-multi-choice,,The man where arrived yesterday needs a wakeup call at nine.,Which of the following sentences sounds most natural? 13
survey-multi-choice,,"We won the game, so we did!",Which of the following sentences sounds most natural? 14
survey-multi-choice,,"We won the game, yes we did!",Which of the following sentences sounds most natural? 14
survey-multi-choice,,"We won the game, no we did!",Which of the following sentences sounds most natural? 14
survey-multi-choice,,"We won the game, although we did!",Which of the following sentences sounds most natural? 14
survey-multi-choice,,I studies medicine.,Which of the following sentences sounds most natural? 15
survey-multi-choice,,I reads medicine.,Which of the following sentences sounds most natural? 15
survey-multi-choice,,I study medicine.,Which of the following sentences sounds most natural? 15
survey-multi-choice,,I read medicine.,Which of the following sentences sounds most natural? 15
survey-multi-choice,,"He broke his leg, so he is in the hospital.",Which of the following sentences sounds most natural? 16
survey-multi-choice,,"He broke his leg, so he is in hospital.",Which of the following sentences sounds most natural? 16
survey-multi-choice,,"He broke his leg, so he is on hospital.",Which of the following sentences sounds most natural? 16
survey-multi-choice,,"He broke his leg, so he is on the hospital.",Which of the following sentences sounds most natural? 16
survey-multi-choice,,"I told Sally I was worried about the exam. She said, “Don't worry. He'll be right!”",Which of the following sentences sounds most natural? 17
survey-multi-choice,,"I told Sally I was worried about the exam. She said, “Don't worry. She'll be right!”",Which of the following sentences sounds most natural? 17
survey-multi-choice,,"I told Sally I was worried about the exam. She said, “Don't worry. It be okay!”",Which of the following sentences sounds most natural? 17
survey-multi-choice,,"I told Sally I was worried about the exam. She said, “Don't worry. It'll be okay!”",Which of the following sentences sounds most natural? 17
survey-multi-choice,,"If he knew, he would have helped her.",Which of the following sentences sounds most natural? 18
survey-multi-choice,,"If he had been knowing, he would have helped her.",Which of the following sentences sounds most natural? 18
survey-multi-choice,,"If he had known, he would have helped her.",Which of the following sentences sounds most natural? 18
survey-multi-choice,,"If he have known, he would have helped her.",Which of the following sentences sounds most natural? 18
survey-multi-choice,,My brother and sister are playing tennis at 11pm later tonight.,Which of the following sentences sounds most natural? 19
survey-multi-choice,,My brother and sister will playing tennis at 11pm later tonight.,Which of the following sentences sounds most natural? 19
survey-multi-choice,,My brother and sister were playing tennis at 11pm later tonight.,Which of the following sentences sounds most natural? 19
survey-multi-choice,,My brother and sister was playing tennis at 11pm later tonight.,Which of the following sentences sounds most natural? 19
survey-multi-choice,,I said the story.,Which of the following sentences sounds most natural? 20
survey-multi-choice,,I replied the story.,Which of the following sentences sounds most natural? 20
survey-multi-choice,,I declared the story.,Which of the following sentences sounds most natural? 20
survey-multi-choice,,I told the story.,Which of the following sentences sounds most natural? 20
survey-multi-choice,,My grandmother really loved John. She left all her money to he.,Which of the following sentences sounds most natural? 21
survey-multi-choice,,My grandmother really loved John. She left all her money to him.,Which of the following sentences sounds most natural? 21
survey-multi-choice,,My grandmother really loved John. She left all her money to her.,Which of the following sentences sounds most natural? 21
survey-multi-choice,,My grandmother really loved John. She left all her money to it.,Which of the following sentences sounds most natural? 21
survey-multi-choice,,"They may be traveling, but I'm not sure.",Which of the following sentences sounds most natural? 22
survey-multi-choice,,"They can be traveling, but I'm not sure.",Which of the following sentences sounds most natural? 22
survey-multi-choice,,"They would be traveling, but I'm not sure.",Which of the following sentences sounds most natural? 22
survey-multi-choice,,"They have be traveling, but I'm not sure.",Which of the following sentences sounds most natural? 22
survey-multi-choice,,John gave the library the book.,Which of the following sentences sounds most natural? 23
survey-multi-choice,,John donated the library the book.,Which of the following sentences sounds most natural? 23
survey-multi-choice,,John distributed the library the book.,Which of the following sentences sounds most natural? 23
survey-multi-choice,,John contributed the library the book.,Which of the following sentences sounds most natural? 23
survey-multi-choice,,Sally laughed Mary.,Which of the following sentences sounds most natural? 24
survey-multi-choice,,Sally happied Mary.,Which of the following sentences sounds most natural? 24
survey-multi-choice,,Sally giggled Mary.,Which of the following sentences sounds most natural? 24
survey-multi-choice,,Sally tickled Mary.,Which of the following sentences sounds most natural? 24
survey-multi-choice,,A President Obama lives in the White House.,Which of the following sentences sounds most natural? 25
survey-multi-choice,,The President Obama lives in the White House.,Which of the following sentences sounds most natural? 25
survey-multi-choice,,These President Obama lives in the White House.,Which of the following sentences sounds most natural? 25
survey-multi-choice,,President Obama lives in the White House.,Which of the following sentences sounds most natural? 25
survey-multi-choice,,The sun is in the sky.,Which of the following sentences sounds most natural? 26
survey-multi-choice,,The sun is in a sky.,Which of the following sentences sounds most natural? 26
survey-multi-choice,,The sun is in an sky.,Which of the following sentences sounds most natural? 26
survey-multi-choice,,The sun is in sky.,Which of the following sentences sounds most natural? 26
survey-multi-choice,,I believe in these justice.,Which of the following sentences sounds most natural? 27
survey-multi-choice,,I believe in justice.,Which of the following sentences sounds most natural? 27
survey-multi-choice,,I believe in a justice.,Which of the following sentences sounds most natural? 27
survey-multi-choice,,I believe in the justice.,Which of the following sentences sounds most natural? 27
survey-multi-choice,,Sorry to disturb you with the weekend.,Which of the following sentences sounds most natural? 28
survey-multi-choice,,Sorry to disturb you under the weekend.,Which of the following sentences sounds most natural? 28
survey-multi-choice,,Sorry to disturb you at the weekend.,Which of the following sentences sounds most natural? 28
survey-multi-choice,,Sorry to disturb you on the weekend.,Which of the following sentences sounds most natural? 28
survey-multi-choice,,I would like go home.,Which of the following sentences sounds most natural? 29
survey-multi-choice,,I would prefer go home.,Which of the following sentences sounds most natural? 29
survey-multi-choice,,I would rather go home.,Which of the following sentences sounds most natural? 29
survey-multi-choice,,I would want go home.,Which of the following sentences sounds most natural? 29
survey-multi-choice,,Bill poured the cup with wine.,Which of the following sentences sounds most natural? 30
survey-multi-choice,,Bill filled the cup with wine.,Which of the following sentences sounds most natural? 30
survey-multi-choice,,Bill drained the cup with wine.,Which of the following sentences sounds most natural? 30
survey-multi-choice,,Bill dripped the cup with wine.,Which of the following sentences sounds most natural? 30
survey-multi-choice,,I play at the soccer team.,Which of the following sentences sounds most natural? 31
survey-multi-choice,,I play in the soccer team.,Which of the following sentences sounds most natural? 31
survey-multi-choice,,I play on the soccer team.,Which of the following sentences sounds most natural? 31
survey-multi-choice,,I play inside the soccer team.,Which of the following sentences sounds most natural? 31
survey-multi-select,,John agreed the contract.,Which of these sentences is grammatical? 1
survey-multi-select,,Sally appealed against the decision.,Which of these sentences is grammatical? 1
survey-multi-select,,I'll write my brother.,Which of these sentences is grammatical? 1
survey-multi-select,,I'm just after telling you.,Which of these sentences is grammatical? 1
survey-multi-select,,The government was unable to agree on the budget.,Which of these sentences is grammatical? 1
survey-multi-select,,I after ate dinner.,Which of these sentences is grammatical? 1
survey-multi-select,,Who did Sue ask why Sam was waiting?,Which of these sentences is grammatical? 1
survey-multi-select,,He thought he could win the game.,Which of these sentences is grammatical? 1
survey-multi-select,,The committee were divided on the question.,Which of these sentences is grammatical? 2
survey-multi-select,,She resigned Thursday.,Which of these sentences is grammatical? 2
survey-multi-select,,He said that she is taking a trip.,Which of these sentences is grammatical? 2
survey-multi-select,,He said that she was taking a trip.,Which of these sentences is grammatical? 2
survey-multi-select,,Sally swam two miles. Wore a pair of $100 goggles.,Which of these sentences is grammatical? 2
survey-multi-select,,I'm going to Wisconsin next week.,Which of these sentences is grammatical? 2
survey-multi-select,,He encouraged her to travels around the world.,Which of these sentences is grammatical? 2
survey-multi-select,,I'm wanting dessert.,Which of these sentences is grammatical? 2
survey-multi-select,,I worked for five years.,Which of these sentences is grammatical? 3
survey-multi-select,,Who did Bill ask why Jane was talking to?,Which of these sentences is grammatical? 3
survey-multi-select,,Who whom kissed?,Which of these sentences is grammatical? 3
survey-multi-select,,John went to the store. Bought ice cream.,Which of these sentences is grammatical? 3
survey-multi-select,,I'm finished my homework.,Which of these sentences is grammatical? 3
survey-multi-select,,I'm finished with my homework.,Which of these sentences is grammatical? 3
survey-multi-select,,We did go the beach.,Which of these sentences is grammatical? 3
survey-multi-select,,He be working Tuesdays.,Which of these sentences is grammatical? 3
survey-multi-select,,"Yesterday, John wanted to won the race.",Which of these sentences is grammatical? 4
